text,dominant_distortion,secondary_distortion
"I am a loser, because I feel like I've lost everything.",Labeling,Emotional Reasoning
I feel bruised by his indifference to my problems.,No Distortion,
I am weak.,Labeling,
"I am a bad mother, because I yelled once, ignoring the hugs.",Labeling,Mental Filter
I'm buried under deadlines and struggling to prioritize.,No Distortion,
"I gained a pound; I'm obese, and I'm a fat cow.",Magnification or Minimization,Labeling
It’s just a Masters degree; it's nothing.,Magnification or Minimization,
"I got a promotion, but no parking spot, so it's worthless.",Mental Filter,
"He brought me soup, but he probably feels guilty.",Disqualifying the Positive,
"I feel stupid, so I am an idiot, and I'm a dunce.",Emotional Reasoning,Labeling
"I look radiant, but it's just the humidity.",Disqualifying the Positive,
"I lost $5; I'm going bankrupt, and I must stop spending money.",Magnification or Minimization,Should Statements
Either I'm the best employee or I'm getting fired.,All-or-Nothing Thinking,
I must never fail.,Should Statements,
"If I can't fix this, I am completely useless.",All-or-Nothing Thinking,Labeling
"My husband is kind, but he forgot the trash, so he's lazy.",Mental Filter,
"The boss called me in, so I'm fired, because I have a bad feeling about this.",Jumping to Conclusions,Emotional Reasoning
"The meal was tasty, but the waiter was rude, so the night was ruined, and service is always bad for me.",Mental Filter,Overgeneralization
I am concerned about the layoffs at work; the uncertainty is draining.,No Distortion,
"I am a bad mother, and I always ruin my kids' lives.",Labeling,Overgeneralization
"I am a toxic person, so my friends are going to abandon me.",Labeling,Jumping to Conclusions
I always drop my phone on concrete.,Overgeneralization,
"The feedback was good, but they noted a typo, so I failed, and they are planning to replace me.",Mental Filter,Jumping to Conclusions
"He loves me, but he doesn't know the real me, and I should be more open.",Disqualifying the Positive,Should Statements
My parents got divorced because of me.,Personalization,
"The team lost; I played badly, and I should have practiced more.",Personalization,Should Statements
It’s just a promotion; it doesn't mean I'm good.,Magnification or Minimization,
"I am a fraud, and they are going to expose me soon.",Labeling,Jumping to Conclusions
"They are laughing; it's about me, and I must look ridiculous.",Jumping to Conclusions,Personalization
I am a jerk.,Labeling,
It rained on the parade; I ruined it.,Personalization,
I should have known better.,Should Statements,
"If I don't get this job, I am a total loser.",All-or-Nothing Thinking,Labeling
My day was going well until I ripped my stocking; now the day is over.,Mental Filter,
Life should be fair.,Should Statements,
"He hasn't called, so he definitely hates me and we are over.",Jumping to Conclusions,All-or-Nothing Thinking
I must always be on time.,Should Statements,
She's crying; I hurt her feelings.,Personalization,
"I feel angry, so you are unfair, and you're trying to hurt me.",Emotional Reasoning,Jumping to Conclusions
I'm peeved that my roommate ate my leftovers again.,No Distortion,
Men are all the same; they just want to use you.,Overgeneralization,
"I feel guilty, so I am bad, and my good intentions don't matter.",Emotional Reasoning,Disqualifying the Positive
"I feel angry, so you are unfair, and I'm a hothead.",Emotional Reasoning,Labeling
"If the house isn't spotless, it's a pigsty, and I'm a slob.",All-or-Nothing Thinking,Labeling
She's upset; I must have hurt her.,Personalization,
She's either an angel or a devil.,All-or-Nothing Thinking,
"I look good, but it's the makeup, and I'm deceiving everyone.",Disqualifying the Positive,Personalization
"I won the game, but it was just luck, so I don't deserve the applause.",Disqualifying the Positive,Personalization
"I passed the test, but I missed the last question, so I'm stupid.",Mental Filter,All-or-Nothing Thinking
"I tripped, so I'm always clumsy, and I'm filtering out all the times I walked perfectly.",Overgeneralization,Mental Filter
"I look good, but it's just the lighting.",Disqualifying the Positive,
I should always be productive.,Should Statements,
I got a C-; my academic future is dead.,Magnification or Minimization,
"They clapped, but they pitied me, and their applause is insignificant.",Disqualifying the Positive,Magnification or Minimization
It’s just a prestigious award; it doesn't prove anything.,Magnification or Minimization,
She didn't wave back; everyone ignores me.,Overgeneralization,
I feel lonely living in this new city where I don't know anyone yet.,No Distortion,
"I feel ashamed, so I am a disgrace.",Emotional Reasoning,
My parents fight because of me.,Personalization,
I am a loser.,Labeling,
"I cooked dinner, but used a mix, so I can't cook, because I feel lazy.",Disqualifying the Positive,Emotional Reasoning
The power went out; I used too much electricity.,Personalization,
"I didn't finish the mile, so the run didn't count.",All-or-Nothing Thinking,
"My son failed; it's my fault, and I'm always the cause of his problems.",Personalization,Overgeneralization
I must always be strong.,Should Statements,
"I spilled coffee; the whole meeting is ruined, and I always mess up important moments.",Magnification or Minimization,Overgeneralization
I am a coward.,Labeling,
Nothing ever goes right for me.,Overgeneralization,
"My son failed; it's my fault, and I should have tutored him.",Personalization,Should Statements
I am weak.,Labeling,
"My husband is sad; I upset him, and I'm a nag.",Personalization,Labeling
"If I go to the gym, everyone will stare at me.",Jumping to Conclusions,
I must never cry.,Should Statements,
"I should be thinner, and since I'm not, no one finds me attractive.",Should Statements,Jumping to Conclusions
"I ate a cookie, so I've ruined my diet completely.",All-or-Nothing Thinking,
"I feel hopeless, so there is no solution.",Emotional Reasoning,
"My performance was garbage because I stuttered, and I know I'm going to get fired for it.",All-or-Nothing Thinking,Jumping to Conclusions
"I am a fraud, and I'll never be the real deal.",Labeling,Overgeneralization
"I am a slob, and I should clean up.",Labeling,Should Statements
I am angry that he lied to my face about where he was.,No Distortion,
I am grieving the loss of my childhood pet.,No Distortion,
I have a pimple; I look like a witch.,Magnification or Minimization,
I always pick the slow lane at the bank.,Overgeneralization,
"My hair looks good, but I have a pimple, so I look ugly, and I always look bad in photos.",Mental Filter,Overgeneralization
"The dinner was good, but the dessert was dry, so the meal was garbage.",Mental Filter,All-or-Nothing Thinking
My diet is ruined because I ate one piece of chocolate.,All-or-Nothing Thinking,
"The team lost the game; if I had cheered louder, we would have won.",Personalization,
"I fixed the sink, but I needed a manual, so I'm incompetent, and my success is tiny.",Disqualifying the Positive,Magnification or Minimization
"I feel stupid, so I lack intelligence.",Emotional Reasoning,
"I feel lonely, so I am alone in the world.",Emotional Reasoning,
I am angry that I got a parking ticket for being two minutes late.,No Distortion,
"The review was glowing, but they noted a typo, so they hated it.",Mental Filter,
People should be on time.,Should Statements,
"The concert was great, but the line for the bathroom was long, so the night was terrible.",Mental Filter,
I'm overwhelmed by the noise and crowds in this shopping mall.,No Distortion,
"He hasn't called, so he hates me, and I'm obsessing over the silence.",Jumping to Conclusions,Mental Filter
You either trust me 100% or you don't trust me at all.,All-or-Nothing Thinking,
You're either my best friend or my enemy.,All-or-Nothing Thinking,
"I am a toxic person, and I cause massive destruction.",Labeling,Magnification or Minimization
"I saved a life, but anyone would have done the same.",Disqualifying the Positive,
"The world should be fair, and since it's not, I must be destined to suffer.",Should Statements,Personalization
"She yawned, so I'm annoying her, and I'm taking up too much of her time.",Jumping to Conclusions,Personalization
"I feel ugly, so I am hideous, and people complimenting me are lying.",Emotional Reasoning,Disqualifying the Positive
"I fixed the light, but it took too long.",Disqualifying the Positive,
"I see a typo in my essay, so the whole paper is garbage.",Mental Filter,
"He was rude, so everyone is mean, and the nice cashier doesn't count because it's her job.",Overgeneralization,Disqualifying the Positive
"I should not be sad, but I am, and I'm fixated on the tears.",Should Statements,Mental Filter
I'm feeling really disheartened that my application was rejected.,No Distortion,
"I am a fraud, so I'm faking it, and my success doesn't count.",Labeling,Disqualifying the Positive
This traffic jam is the worst thing that has ever happened to me.,Magnification or Minimization,
He didn't text back; he's angry.,Jumping to Conclusions,
I'm confused about the new software update; it's not intuitive.,No Distortion,
"I gained a pound; I'm obese, and I'm a fat pig.",Magnification or Minimization,Labeling
My day was perfect until I spilt coffee; now it's ruined.,Mental Filter,
"They hired him, so I never get picked, and I must have said something wrong in the interview.",Overgeneralization,Personalization
"I am an idiot, because I feel so confused.",Labeling,Emotional Reasoning
"The dinner was a disaster because the rice was dry, and I should be a better cook.",All-or-Nothing Thinking,Should Statements
"They clapped, but they pitied me, so the performance was a failure.",Disqualifying the Positive,All-or-Nothing Thinking
"I see a scratch on the floor, so the whole house is a mess.",Mental Filter,
"I passed the test, but I didn't get perfect, so I'm dumb.",Mental Filter,
"I cooked dinner, but used a mix, so I can't cook, and I'm disqualifying the result.",Disqualifying the Positive,Mental Filter
I am a mess.,Labeling,
"I feel hopeless, so it's over, and there is no point in trying anymore.",Emotional Reasoning,All-or-Nothing Thinking
I am angry that someone scratched my car in the parking lot.,No Distortion,
"If I'm not the leader, I'm nobody.",All-or-Nothing Thinking,
"I finished the marathon, but my time was slow, so I'm not a runner.",Disqualifying the Positive,
I know I'm going to trip on stage.,Jumping to Conclusions,
"I stumbled, so I'm always clumsy, and I'm an oaf.",Overgeneralization,Labeling
"I am a failure, and I should have succeeded.",Labeling,Should Statements
"I am a burden, and I'm a huge weight on my family.",Labeling,Magnification or Minimization
Nobody ever appreciates my hard work.,Overgeneralization,
"I feel guilty, so I must have done something wrong, because I always hurt people.",Emotional Reasoning,Overgeneralization
He didn't text; he's angry.,Jumping to Conclusions,
The cake fell; I failed as a baker.,Personalization,
"I should be perfect, and since I'm not, I'm a failure, and I must try harder.",Should Statements,All-or-Nothing Thinking
"I'm nervous about the biopsy results, which is understandable.",No Distortion,
I'm annoyed that my roommate left dirty dishes in the sink again.,No Distortion,
"I look okay, but I have a pimple, so I'm ugly, and people saying I look nice are just being polite.",Mental Filter,Disqualifying the Positive
"Unless everyone likes me, I'm worthless, and those who do like me don't matter.",All-or-Nothing Thinking,Disqualifying the Positive
"I saved money, but not a lot, so I'm still broke.",Disqualifying the Positive,All-or-Nothing Thinking
Waiting for this email is torture.,Magnification or Minimization,
"The movie was great, but the popcorn was stale, so the night was ruined.",Mental Filter,
I should always be happy.,Should Statements,
"The boss called me in, so I'm fired, and I should have worked harder.",Jumping to Conclusions,Should Statements
I feel hurt that they didn't include me in the group chat.,No Distortion,
She's crying; I hurt her.,Personalization,
"We had a nice date, but he checked his phone once, so he was bored.",Mental Filter,
She's crying; I hurt her.,Personalization,
"I feel anxious, so there is danger, and something terrible is definitely coming.",Emotional Reasoning,Jumping to Conclusions
I lost a button; my coat is ruined.,Magnification or Minimization,
"I look okay, but I have a pimple, so I'm ugly, and everyone is staring at it.",Mental Filter,Jumping to Conclusions
I am a failure.,Labeling,
"The project failed; I take full responsibility, ignoring external factors.",Personalization,Mental Filter
I stumbled; I'm a complete klutz.,Magnification or Minimization,
"If I'm not the best, I'm the worst, so everyone must think I'm incompetent.",All-or-Nothing Thinking,Jumping to Conclusions
"We had a nice walk, but it was humid, so it was miserable, and I nearly died of heatstroke.",Mental Filter,Magnification or Minimization
"They are laughing; it's about me, and they shouldn't be so rude.",Jumping to Conclusions,Should Statements
"Every time I try to sleep, the neighbors make noise.",Overgeneralization,
I should handle this alone; asking for help means I'm incompetent.,Should Statements,All-or-Nothing Thinking
The store is closed; I caused this by being late.,Personalization,
"I finished the task, but it was easy, so it doesn't count, because I didn't feel challenged.",Disqualifying the Positive,Emotional Reasoning
The economy crashed; I made bad investments.,Personalization,
"I look healthy, but it's just good makeup.",Disqualifying the Positive,
"I saved for the trip, but it took too long to matter.",Disqualifying the Positive,
I failed one math test; I'll never understand calculus.,Overgeneralization,
"I am a fraud, and I'm deceiving everyone who trusts me.",Labeling,Personalization
This traffic jam is a nightmare from hell.,Magnification or Minimization,
He's looking at his phone; he's bored of me.,Jumping to Conclusions,
I am a failure.,Labeling,
He looks bored; I'm boring him so I'm an uninteresting person.,Personalization,All-or-Nothing Thinking
He's looking at the exit; he wants to escape me.,Jumping to Conclusions,
I am exhausted after working overtime three days in a row.,No Distortion,
"I should handle this alone, and asking for help is a huge weakness.",Should Statements,Magnification or Minimization
People should be nice.,Should Statements,
I feel hurt that my best friend didn't invite me to the gathering.,No Distortion,
All dentists are sadists.,Overgeneralization,
"I didn't finish the list, so I'm lazy, and the 10 things I did finish were easy anyway.",All-or-Nothing Thinking,Disqualifying the Positive
"I saved money, but it wasn't that much.",Disqualifying the Positive,
I should not cry.,Should Statements,
I feel hurt that they went to lunch without inviting me.,No Distortion,
I am damaged goods.,Labeling,
"We had a nice dinner, but the waiter was slow, so the night was ruined.",Mental Filter,
I feel insecure about my appearance today.,No Distortion,
"I feel lonely, so I am unlovable.",Emotional Reasoning,
They are glancing this way; they are making fun of me.,Jumping to Conclusions,
"The dinner was a disaster because the rice was dry, and my guests definitely hated it.",All-or-Nothing Thinking,Jumping to Conclusions
"I finished the puzzle, but it was easy.",Disqualifying the Positive,
"I am weak, and I'm the weak link in this marriage.",Labeling,Personalization
"They smiled, but they smile at everyone.",Disqualifying the Positive,
"He frowned, so he thinks I'm stupid, and people always think less of me.",Jumping to Conclusions,Overgeneralization
My head hurts; I'm having a stroke.,Jumping to Conclusions,
"I won the game, but it was just luck, and I never actually win on skill.",Disqualifying the Positive,Overgeneralization
I'm miffed that they didn't acknowledge my contribution in the meeting.,No Distortion,
It makes me sad to think about how much time I've wasted on this project.,No Distortion,
"I saved money, but not enough, so I'm poor, because I feel so financially insecure.",Disqualifying the Positive,Emotional Reasoning
"I won't get the loan, so why try, I'm just wasting the banker's time.",Jumping to Conclusions,Personalization
My husband is sad; I must have done something to upset him.,Personalization,
"I lost my keys, so I always lose everything, and finding them quickly doesn't change the fact that I'm irresponsible.",Overgeneralization,Disqualifying the Positive
"I am a burden, so my family wishes I wasn't here.",Labeling,Jumping to Conclusions
My husband is sad; I must have done something to destroy his day.,Personalization,All-or-Nothing Thinking
"If I go, nobody will talk to me, because I'm focusing on my fear of rejection.",Jumping to Conclusions,Mental Filter
"I feel rejected, so I'm an outcast, and I must be defective.",Emotional Reasoning,Personalization
"My partner is great, but he forgot the milk, so he's useless, because I feel so unsupported.",Mental Filter,Emotional Reasoning
I got a B; I'm failing at life.,Magnification or Minimization,
"I got a raise, but my commute increased by 5 minutes, so the new job sucks.",Mental Filter,
"I am a bad mother, and the kids being happy today doesn't change that.",Labeling,Disqualifying the Positive
"I saved $100, but that's nothing in the grand scheme.",Disqualifying the Positive,
"They clapped, but they pitied me, and they should have cheered louder.",Disqualifying the Positive,Should Statements
"I feel lonely, so nobody loves me.",Emotional Reasoning,
I should have won that race.,Should Statements,
"The store is closed; I caused this, because I feel like the universe is punishing me.",Personalization,Emotional Reasoning
"She said I'm funny, but she's just flirting.",Disqualifying the Positive,
"I feel tired, so I am lazy.",Emotional Reasoning,
I'm stressed about the pile of laundry waiting for me at home.,No Distortion,
"I feel overwhelmed, so it's impossible, and I'm holding everyone back.",Emotional Reasoning,Personalization
Either everyone loves me or everyone hates me.,All-or-Nothing Thinking,
"My partner is great, but he forgot the milk, so he's useless, and I'm a nag.",Mental Filter,Labeling
I am a mess.,Labeling,
"I am concerned about my brother's recent behavior, but I know I can't control him.",No Distortion,
"My parents divorced because of me, and I should have been a better child.",Personalization,Should Statements
I ate a cookie; my clean eating streak is totally ruined.,All-or-Nothing Thinking,
My parents are broke because of me.,Personalization,
"I have a pimple; I look like a monster, and nobody will ever love me.",Magnification or Minimization,Labeling
He didn't say thank you; nobody has manners anymore.,Overgeneralization,
I feel disappointed that the restaurant was fully booked for our anniversary.,No Distortion,
"I feel overwhelming shame, so I am a shameful person.",Emotional Reasoning,
"I ought to be rich by now, but I'm poor, so I'll never be successful.",Should Statements,Overgeneralization
Either I succeed wildly or I crash and burn.,All-or-Nothing Thinking,
"The concert was great, but the seats were hard, so the night was ruined.",Mental Filter,
I am a terrible friend.,Labeling,
"Every time I plan a trip, it rains.",Overgeneralization,
"I should be perfect, but I made one mistake, and that's all I can see.",Should Statements,Mental Filter
He's tapping his fingers; he's bored of me.,Jumping to Conclusions,
I am a failure.,Labeling,
He seems distracted; I must be boring him.,Personalization,
"It rained today; the weather is always bad for me, so I can never have fun.",Overgeneralization,All-or-Nothing Thinking
"I didn't win gold, so I'm a loser, and my coach is disappointed in me.",Magnification or Minimization,Jumping to Conclusions
I am a chicken.,Labeling,
"I feel tired, so I am lazy.",Emotional Reasoning,
"I feel anxious, so something bad is coming.",Emotional Reasoning,
"I should be thinner, and since I'm not, I'm embarrassing my partner.",Should Statements,Personalization
"I feel tired, so I am lazy.",Emotional Reasoning,
This delay is a catastrophe.,Magnification or Minimization,
"You either love me or hate me, and since you argued, I'm unlovable trash.",All-or-Nothing Thinking,Labeling
"I see a scratch, so the car is junk, and the fact that it runs perfectly is irrelevant.",Mental Filter,Disqualifying the Positive
"All men are liars, so I will never have a trusting relationship, because I'm a victim.",Overgeneralization,Labeling
"I should handle this alone, and getting help means I failed.",Should Statements,Disqualifying the Positive
"I must please everyone, and if they aren't happy, it's my fault.",Should Statements,Personalization
It's aggravating when the power goes out right before I save my work.,No Distortion,
I should have won that game.,Should Statements,
"I look good, but it's the makeup, so naturally I'm ugly.",Disqualifying the Positive,All-or-Nothing Thinking
"I should handle this alone, and asking for help makes me a baby.",Should Statements,Labeling
"He didn't say hi, so everyone hates me, and I'm a social outcast.",Overgeneralization,Labeling
"My parents divorced because of me, and I ruin everything.",Personalization,Overgeneralization
"The dinner burned; I ruin everything, and I'm a disaster.",Personalization,Labeling
I should be thinner.,Should Statements,
My husband is quiet; I bored him.,Personalization,
I should be able to handle this.,Should Statements,
I'm perplexed by the instructions for this new gadget.,No Distortion,
"I feel rejected, so I'm an outcast, and society hates me.",Emotional Reasoning,Overgeneralization
"It rained today, so it always rains when I have plans, and I'm ignoring the sunny days.",Overgeneralization,Mental Filter
"I should not be sad, and my crying means I'm having a breakdown.",Should Statements,Jumping to Conclusions
"Unless I get an A+, the semester was a total waste.",All-or-Nothing Thinking,
My parents fight because of me.,Personalization,
"I feel stupid, so I know nothing.",Emotional Reasoning,All-or-Nothing Thinking
"If I don't get this done perfectly, I might as well not do it at all.",All-or-Nothing Thinking,
"She said I'm smart, but she's just being nice, and I'm focusing on my doubts.",Disqualifying the Positive,Mental Filter
"She's looking away, so she's bored, and I'm ignoring that she nodded earlier.",Jumping to Conclusions,Mental Filter
"I got a C; my life is over, and I'll never graduate.",Magnification or Minimization,Overgeneralization
It rained on my party; I ruined it.,Personalization,
"I feel anxious, so I am in danger.",Emotional Reasoning,
"I feel hopeless, so I am doomed.",Emotional Reasoning,
"I spilled water; the floor is ruined, and I'm always making messes for others to clean.",Magnification or Minimization,Personalization
"I won the bet, but it was just a fluke.",Disqualifying the Positive,
"I'm jittery about the presentation, but I've practiced enough.",No Distortion,
"I feel ugly, so I am repulsive.",Emotional Reasoning,
"You either love me or hate me, and if you hate me, I must have driven you away.",All-or-Nothing Thinking,Personalization
"I feel lonely, so nobody loves me, and it's because I'm unlovable.",Emotional Reasoning,Personalization
You're either my ally or my enemy.,All-or-Nothing Thinking,
"I see a chip in the paint, so the wall looks terrible.",Mental Filter,
He looks tired; I exhausted him.,Personalization,
I feel disappointed that I didn't get the raise I asked for.,No Distortion,
I'm overwhelmed by the amount of reading required for this class.,No Distortion,
"The meal was gourmet, but the water was warm, so the dinner was ruined.",Mental Filter,
I am a bad friend.,Labeling,
"We had a fun trip, but the flight home was delayed, so the vacation was a nightmare.",Mental Filter,
I feel hesitant about committing to such a long lease.,No Distortion,
I ought to be rich.,Should Statements,
"She rejected me, so nobody will ever love me, and I'm completely unlovable.",Overgeneralization,Labeling
"He loves me, but he doesn't know the real me, and my good qualities are negligible.",Disqualifying the Positive,Magnification or Minimization
"I stumbled, so I'm always clumsy, and everyone saw it and thinks I'm drunk.",Overgeneralization,Jumping to Conclusions
"I burned the toast; I ruin every meal, so I can't cook at all.",Overgeneralization,All-or-Nothing Thinking
"I feel jealous of their new car, even though I shouldn't be.",No Distortion,
"I feel hopeless, so my life is over.",Emotional Reasoning,All-or-Nothing Thinking
"I should have known, and I'm beating myself up over that one detail.",Should Statements,Mental Filter
"My partner is great, but he forgot the milk, so he doesn't care about our home.",Mental Filter,Overgeneralization
I stumbled; I'm a disaster.,Magnification or Minimization,
I must never show weakness.,Should Statements,
All lawyers are greedy sharks.,Overgeneralization,
"I feel hopeless, so it's over, and I'm dragging everyone down with me.",Emotional Reasoning,Personalization
"I feel ashamed, so I am bad.",Emotional Reasoning,
I'm on pins and needles waiting for the exam results.,No Distortion,
I am a mess.,Labeling,
"I am a slob, so I will never have a clean house.",Labeling,All-or-Nothing Thinking
"My day was good, but I hit traffic, so it was a waste, because I feel so drained now.",Mental Filter,Emotional Reasoning
My son failed; I'm a bad dad.,Personalization,
Nobody ever listens to my ideas.,Overgeneralization,
"I should handle this alone, and asking for help makes me a burden.",Should Statements,Personalization
I must always be polite.,Should Statements,
"I should be thinner, and I'm staring at my belly, ignoring my strength.",Should Statements,Mental Filter
"I feel envious of their lavish lifestyle, though I know social media is curated.",No Distortion,
Waiting for this text is torture.,Magnification or Minimization,
"I look fit, but my arms are flabby, so I look out of shape.",Mental Filter,
She's looking at the ceiling; she thinks I'm stupid.,Jumping to Conclusions,
My knee hurts; it's arthritis.,Jumping to Conclusions,
"I saved $100, but I have debt.",Disqualifying the Positive,
I always pick the slowest checkout line.,Overgeneralization,
"I feel ugly, so I am repulsive.",Emotional Reasoning,
"If I'm not the leader, I'm a nobody.",All-or-Nothing Thinking,
"I feel scared, so something terrible is about to happen.",Emotional Reasoning,
"I was late; I've destroyed my reputation, and I must be punctual.",Magnification or Minimization,Should Statements
"I am an idiot, and my stupidity is boundless.",Labeling,Magnification or Minimization
"I feel lonely, so I am destined to be alone.",Emotional Reasoning,
"I look good, but it's the makeup, and I ought to look good naturally.",Disqualifying the Positive,Should Statements
Nothing ever goes right for me in life.,Overgeneralization,
"I feel lonely, so nobody loves me, and my family calling me doesn't change that.",Emotional Reasoning,Disqualifying the Positive
"Every time I try to fix something, I break it.",Overgeneralization,
"I have a headache; it's a tumor, and I'm a hypochondriac.",Jumping to Conclusions,Labeling
"I won't get the loan, so why try, and banks should be more lenient.",Jumping to Conclusions,Should Statements
"The team lost; I played badly, and the loss is entirely on my shoulders.",Personalization,Magnification or Minimization
"He loves me, but he doesn't know the real me, so I'm a fraud.",Disqualifying the Positive,Labeling
I'm ticked off that the dry cleaner ruined my favorite shirt.,No Distortion,
"It rained on my wedding; I jinxed it, and the beautiful ceremony doesn't matter.",Personalization,Disqualifying the Positive
"I feel stupid, so I am an idiot.",Emotional Reasoning,
Either I'm a saint or a sinner.,All-or-Nothing Thinking,
"I feel stupid, so I have a low IQ.",Emotional Reasoning,
I am livid that someone keyed my car.,No Distortion,
My chest hurts; I'm having a heart attack.,Jumping to Conclusions,
I burned the eggs; I can't cook.,Overgeneralization,
"I have a pimple; I look like a monster, and I'm hideous.",Magnification or Minimization,Labeling
It’s just a PhD; it doesn't mean I'm smart.,Magnification or Minimization,
People should be grateful.,Should Statements,
The bread didn't rise; I failed as a baker.,Personalization,
"I feel stupid, so I am an idiot, and I'll never be smart.",Emotional Reasoning,Overgeneralization
"If I go, nobody will talk to me, and it will be a social disaster.",Jumping to Conclusions,Magnification or Minimization
I am mourning the loss of my favorite aunt.,No Distortion,
"I look okay, but I have a pimple, so I'm ugly, because I feel so hideous today.",Mental Filter,Emotional Reasoning
Life should be fair.,Should Statements,
"I failed the math test; I'll never understand anything, so I should just quit school.",Overgeneralization,All-or-Nothing Thinking
I am a failure.,Labeling,
I am grieving the loss of my childhood home.,No Distortion,
She's sighing; I'm frustrating her.,Personalization,
"I am weak, and I never have the strength to cope.",Labeling,Overgeneralization
"I feel guilty, so I am bad, and I've committed a mortal sin.",Emotional Reasoning,Magnification or Minimization
I feel lonely sitting here by myself on a Friday night.,No Distortion,
Life should be easy.,Should Statements,
"I have a headache; it's a tumor, and I'm going to die soon.",Jumping to Conclusions,Magnification or Minimization
I have a pimple; I look like a monster and I can't go out.,Magnification or Minimization,All-or-Nothing Thinking
"I won the game, but it was just luck, and I should have won on skill.",Disqualifying the Positive,Should Statements
I am a failure.,Labeling,
"I finished the project, but it was easy, so it doesn't count, and I never do anything challenging.",Disqualifying the Positive,Overgeneralization
"The dinner was tasty, but the service was slow, so I hated it, and I'm a complainer.",Mental Filter,Labeling
"The date was nice, but he was 5 minutes late, so he's disrespectful, and men always treat me like dirt.",Mental Filter,Overgeneralization
"I am a burden, and I shouldn't be such a problem.",Labeling,Should Statements
"She rejected me, so nobody wants me, and the girls who liked me before were just settling.",Overgeneralization,Disqualifying the Positive
"The party was fun, but I felt awkward, so the night was ruined, and people saying they had fun are lying.",Mental Filter,Disqualifying the Positive
"He looks bored; I'm boring him, and I never have anything interesting to say.",Personalization,Overgeneralization
I am a fraud.,Labeling,
"The feedback was mostly positive, but I can't stop thinking about that one critique.",Mental Filter,
I feel skeptical about this 'get rich quick' scheme.,No Distortion,
"People should be on time, but he was late, and now I can't enjoy the dinner.",Should Statements,Mental Filter
I'm annoyed that the neighbor's dog won't stop barking.,No Distortion,
"My son failed; it's my fault, and he'll never get into college.",Personalization,Jumping to Conclusions
My parents divorced because of me.,Personalization,
"The project has a flaw, so the whole thing is garbage.",All-or-Nothing Thinking,
"We had a great party, but one glass broke, so the night was ruined.",Mental Filter,
"My wife is amazing, but she leaves lights on, so she's wasteful.",Mental Filter,
"I have a headache; it's a tumor, and I'm going to be a burden on my family.",Jumping to Conclusions,Personalization
"I won the game, but it was just luck, so I'm a fraud, and my skill counts for nothing.",Disqualifying the Positive,Magnification or Minimization
"I didn't finish one task on my list, so the whole day was unproductive.",All-or-Nothing Thinking,
I am a neurotic mess.,Labeling,
"I feel bored, so life is dull, and something exciting should happen.",Emotional Reasoning,Should Statements
"He was rude, so everyone in this city is mean, and the next person I meet will yell at me too.",Overgeneralization,Jumping to Conclusions
"Every time I try to cook, I burn the food.",Overgeneralization,
I never get lucky with parking spots.,Overgeneralization,
"The dinner burned; I ruin everything, and I never cook a good meal.",Personalization,Overgeneralization
"The world should be fair, and since it's not, I'm a victim.",Should Statements,Labeling
"I'll never get the job, so there is no point in applying.",Jumping to Conclusions,All-or-Nothing Thinking
"I spilled water; the floor is ruined, and I can't see anything but the puddle.",Magnification or Minimization,Mental Filter
"I tripped; everyone is laughing, and I'm always the clumsy one.",Magnification or Minimization,Overgeneralization
My way or the highway.,All-or-Nothing Thinking,
He didn't text back; people are so unreliable.,Overgeneralization,
"You either love me perfectly or you hate me, and I'm focusing only on that one criticism.",All-or-Nothing Thinking,Mental Filter
I am weak-willed.,Labeling,
"I made a typo; I'm unprofessional, and I should have proofread.",Magnification or Minimization,Should Statements
"I feel ugly, so I am repulsive.",Emotional Reasoning,
"I got a raise, but taxes took some, so it's nothing, and I didn't negotiate well enough.",Mental Filter,Personalization
"The vacation was relaxing, but the flight was delayed, so the trip was ruined.",Mental Filter,All-or-Nothing Thinking
I should be taller.,Should Statements,
This delay is an absolute tragedy.,Magnification or Minimization,
I never get good service at restaurants.,Overgeneralization,
I know I'm going to blush and look stupid.,Jumping to Conclusions,
She's crying; I was mean.,Personalization,
"They hired someone else; I never get picked, so I have no future.",Overgeneralization,All-or-Nothing Thinking
"The feedback was good, but they noted a typo, so I failed, and the praise was just to soften the blow.",Mental Filter,Disqualifying the Positive
"I should handle this alone, but I asked for help, so I'm weak.",Should Statements,Mental Filter
"I won the game, but it was just luck, so I'll definitely lose the next one.",Disqualifying the Positive,Jumping to Conclusions
"I failed the quiz, so I'll never learn, and I should study more.",Overgeneralization,Should Statements
Nothing ever works out for me.,Overgeneralization,
"I failed the quiz, so I'll never learn math, focusing only on the red marks.",Overgeneralization,Mental Filter
"She said I'm smart, but she's just being nice, because she pities me.",Disqualifying the Positive,Personalization
"The review was glowing, but they noted a delay, so they hated it.",Mental Filter,
I am a fraud.,Labeling,
My wife is sad; I made her unhappy.,Personalization,
The bus is late; I jinxed it.,Personalization,
"I am a burden, so everyone would be better off without me.",Labeling,All-or-Nothing Thinking
I know I'm going to stutter during the interview.,Jumping to Conclusions,
"I am a failure, so I will never succeed at anything.",Labeling,Jumping to Conclusions
"They clapped, but they pitied me, and they're talking about how bad I was.",Disqualifying the Positive,Jumping to Conclusions
"I look good, but my nose is shiny, so I look greasy.",Mental Filter,
I am a slob.,Labeling,
He's checking his phone; he's bored of me.,Jumping to Conclusions,
